"Seats in Municipal Councils by region, party and election year"

"0186 Lidingö","Other Parties",4,7,9,7,7,7,8,9,6,5,6,7,7,7,11
"0187 Vaxholm","The Moderate Party",10,10,12,11,11,9,12,10,12,10,16,13,10,7,8
"0187 Vaxholm","The Centre Party",11,8,6,2,2,4,4,5,2,2,2,4,3,4,4
"0187 Vaxholm","The Liberal Party",6,5,5,3,5,5,4,3,3,5,3,4,3,2,1
"0187 Vaxholm","The Christian Democratic Party",0,0,0,0,0,0,1,0,2,2,1,0,0,1,1
"0187 Vaxholm","The Green Party",..,..,..,1,1,2,1,1,2,0,1,2,3,1,1
"0187 Vaxholm","The Social Democratic Party",18,17,16,12,11,10,8,11,9,10,7,7,6,4,4
"0187 Vaxholm","The Left Party",2,3,3,2,1,1,1,1,1,2,1,1,1,2,2
"0187 Vaxholm","The Sweden Democrats",..,..,..,..,..,0,0,0,0,0,0,0,0,2,2
"0187 Vaxholm","Other Parties",2,6,7,0,0,0,0,0,0,0,0,0,5,8,8
"0188 Norrtälje","The Moderate Party",8,8,10,12,12,9,11,12,13,11,18,20,16,14,16
"0188 Norrtälje","The Centre Party",16,17,14,14,11,11,13,13,12,10,8,7,6,6,4
"0188 Norrtälje","The Liberal Party",5,5,5,3,6,6,5,3,3,7,5,5,3,5,4
"0188 Norrtälje","The Christian Democratic Party",1,0,1,0,0,0,2,0,4,3,3,2,1,2,2
"0188 Norrtälje","The Green Party",..,..,..,0,0,3,1,3,3,3,3,5,4,3,2
"0188 Norrtälje","The Social Democratic Party",23,25,24,25,25,25,20,27,22,24,21,18,20,16,18
"0188 Norrtälje","The Left Party",2,2,2,2,2,2,2,3,4,3,3,2,3,3,3
"0188 Norrtälje","The Sweden Democrats",..,..,..,..,..,0,0,0,0,0,0,2,6,10,12
"0188 Norrtälje","Other Parties",2,0,1,1,1,1,3,0,0,0,0,0,2,2,0
"0191 Sigtuna","The Moderate Party",7,8,10,13,14,14,15,15,17,13,15,14,14,16,19
"0191 Sigtuna","The Centre Party",11,10,7,6,4,3,3,3,2,1,2,1,1,3,2
"0191 Sigtuna","The Liberal Party",6,5,4,2,6,6,5,4,3,6,4,3,3,3,3
"0191 Sigtuna","The Christian Democratic Party",0,0,0,1,0,0,2,0,2,3,2,2,2,3,3
"0191 Sigtuna","The Green Party",..,..,..,0,0,2,1,2,2,2,2,2,3,2,2
"0191 Sigtuna","The Social Democratic Party",20,21,22,23,20,19,18,24,17,21,21,23,19,12,18
"0191 Sigtuna","The Left Party",3,2,3,2,2,2,1,1,4,3,1,1,2,3,4
"0191 Sigtuna","The Sweden Democrats",..,..,..,..,..,0,0,0,0,0,1,2,5,7,8
"0191 Sigtuna","Other Parties",2,3,3,2,3,3,4,2,4,2,3,3,2,2,2
"0192 Nynäshamn","The Moderate Party",4,4,6,8,8,7,11,10,12,8,10,12,10,10,9
"0192 Nynäshamn","The Centre Party",11,10,8,5,3,4,3,3,3,2,2,1,2,2,2
"0192 Nynäshamn","The Liberal Party",4,5,4,2,4,4,3,2,2,5,2,3,3,2,2
"0192 Nynäshamn","The Christian Democratic Party",0,0,0,0,0,1,1,1,3,3,2,1,1,2,2
"0192 Nynäshamn","The Green Party",..,..,..,2,6,6,3,4,3,2,2,2,3,2,2
"0192 Nynäshamn","The Social Democratic Party",23,23,22,25,20,19,17,21,16,18,17,15,11,10,12
"0192 Nynäshamn","The Left Party",3,3,4,3,4,4,3,3,5,4,2,2,3,2,2
"0192 Nynäshamn","The Sweden Democrats",..,..,..,..,..,0,0,0,0,1,1,2,4,6,7
"0192 Nynäshamn","Other Parties",0,0,1,0,0,0,4,1,1,2,3,3,4,5,3
"0305 Håbo","The Moderate Party",4,6,8,12,13,14,13,13,13,11,13,11,10,10,9
"0305 Håbo","The Centre Party",10,9,7,5,3,3,3,2,3,0,3,3,3,3,2
"0305 Håbo","The Liberal Party",4,4,3,1,4,3,3,2,1,1,2,4,2,2,1
"0305 Håbo","The Christian Democratic Party",0,0,0,0,0,0,1,0,2,2,2,1,1,1,2
"0305 Håbo","The Green Party",..,..,..,0,0,1,0,0,1,1,1,2,2,1,1
"0305 Håbo","The Social Democratic Party",15,14,15,15,13,13,11,14,13,16,13,15,15,11,11
"0305 Håbo","The Left Party",2,2,2,2,2,1,1,1,2,2,1,1,1,2,1
"0305 Håbo","The Sweden Democrats",..,..,..,..,..,0,0,0,0,0,0,1,5,8,8
"0305 Håbo","Other Parties",0,0,0,0,0,0,3,3,6,8,6,3,2,3,6
"0319 Älvkarleby","The Moderate Party",1,1,2,3,2,2,3,2,3,3,4,5,4,4,6
"0319 Älvkarleby","The Centre Party",4,4,3,3,2,2,1,1,1,1,1,2,2,2,2
"0319 Älvkarleby","The Liberal Party",2,2,2,1,3,4,4,3,2,3,2,1,0,1,0
"0319 Älvkarleby","The Christian Democratic Party",0,0,0,0,0,0,1,0,1,1,1,0,0,1,2
"0319 Älvkarleby","The Green Party",..,..,..,0,0,0,0,1,1,1,1,1,1,1,1
"0319 Älvkarleby","The Social Democratic Party",21,21,20,20,19,14,15,16,15,16,14,14,13,11,10
"0319 Älvkarleby","The Left Party",1,2,2,2,2,3,2,2,3,2,2,2,2,2,2
"0319 Älvkarleby","The Sweden Democrats",..,..,..,..,..,0,0,0,0,1,2,2,5,6,6
"0319 Älvkarleby","Other Parties",2,1,2,2,3,6,5,6,5,3,4,4,4,3,2
"0330 Knivsta","The Moderate Party",..,..,..,..,..,..,..,..,..,7,9,9,8,5,4
"0330 Knivsta","The Centre Party",..,..,..,..,..,..,..,..,..,3,3,3,3,3,2
"0330 Knivsta","The Liberal Party",..,..,..,..,..,..,..,..,..,4,3,3,1,2,1
"0330 Knivsta","The Christian Democratic Party",..,..,..,..,..,..,..,..,..,2,2,1,3,4,3
"0330 Knivsta","The Green Party",..,..,..,..,..,..,..,..,..,1,1,2,2,2,1
"0330 Knivsta","The Social Democratic Party",..,..,..,..,..,..,..,..,..,8,8,6,6,5,5
"0330 Knivsta","The Left Party",..,..,..,..,..,..,..,..,..,2,1,1,2,1,2
"0330 Knivsta","The Sweden Democrats",..,..,..,..,..,..,..,..,..,0,0,1,2,4,4
"0330 Knivsta","Other Parties",..,..,..,..,..,..,..,..,..,4,4,5,4,5,9
"0331 Heby","The Moderate Party",2,2,3,4,4,3,4,4,5,3,5,6,4,4,5
"0331 Heby","The Centre Party",17,16,15,14,13,12,12,11,9,10,8,8,8,10,7
"0331 Heby","The Liberal Party",3,3,2,2,3,3,2,2,1,2,2,2,1,2,1
"0331 Heby","The Christian Democratic Party",0,1,1,1,1,2,3,2,3,3,2,2,2,2,4
"0331 Heby","The Green Party",..,..,..,0,0,1,1,2,1,1,0,2,2,1,1
"0331 Heby","The Social Democratic Party",17,17,18,18,18,18,15,18,14,17,16,13,14,12,11
"0331 Heby","The Left Party",2,2,2,2,2,2,2,2,4,4,3,2,2,2,2
"0331 Heby","The Sweden Democrats",..,..,..,..,..,0,0,0,0,0,1,2,5,8,10
"0331 Heby","Other Parties",0,0,0,0,0,0,2,0,4,9,4,4,3,0,0
"0360 Tierp","The Moderate Party",3,4,4,5,5,4,6,5,6,4,6,7,6,7,7
"0360 Tierp","The Centre Party",13,13,13,12,10,13,10,8,7,9,10,9,9,11,8
"0360 Tierp","The Liberal Party",4,5,4,3,5,4,4,3,2,3,3,2,1,1,1
"0360 Tierp","The Christian Democratic Party",2,1,1,1,1,1,3,1,3,3,2,1,1,2,2
"0360 Tierp","The Green Party",..,..,..,0,0,1,1,2,2,2,2,3,3,2,1
"0360 Tierp","The Social Democratic Party",26,25,26,27,27,25,24,28,24,25,22,22,20,15,16
"0360 Tierp","The Left Party",1,1,1,1,1,1,1,2,4,3,2,2,3,3,3
"0360 Tierp","The Sweden Democrats",..,..,..,..,..,0,0,0,0,0,2,3,6,8,9
"0360 Tierp","Other Parties",0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"0380 Uppsala","The Moderate Party",13,13,16,21,19,17,21,19,20,14,22,23,15,14,14
"0380 Uppsala","The Centre Party",20,17,15,11,7,9,7,4,4,3,8,6,6,8,7
"0380 Uppsala","The Liberal Party",10,12,10,6,14,12,13,9,9,16,11,8,7,8,5
"0380 Uppsala","The Christian Democratic Party",0,0,0,0,0,0,4,1,6,6,6,4,4,6,6
"0380 Uppsala","The Green Party",..,..,..,0,1,6,3,7,7,6,6,11,12,6,5
"0380 Uppsala","The Social Democratic Party",33,33,33,36,34,31,28,34,24,27,21,21,22,21,23
"0380 Uppsala","The Left Party",5,6,7,7,6,6,5,6,10,9,6,6,8,9,11
"0380 Uppsala","The Sweden Democrats",..,..,..,..,..,0,0,0,0,0,1,2,5,7,8
